lat,lon,lprice,area,kitchen_area,rooms,level,object_type,building_type
57.1344143,65.5810892,15.42294647,64.7,18.5,2,2,1,3
56.1498321,47.1934011,15.17391972,46,16,1,3,1,3
61.7787328,34.3653477,14.91378946,44.8,5.8,2,3,1,4
55.9946731,92.9570825,15.38412648,87,8,4,1,1,1
55.8129047,37.7249731,16.08453887,43.8,5.9,2,4,1,1
55.8333819,37.2868919,15.60727003,38,8,1,9,1,2
55.0535965,82.8989893,15.45644714,99.2,13.9,3,21,1,3
59.904798,30.512833,15.6995453,63,14,2,9,2,2
55.8750762,37.6476706,15.72505306,33.1,6.1,1,8,1,1
55.78499,37.68314,16.70031127,58.7,5.9,3,7,1,1
55.827156,37.455858,17.85856183,259.3,17.9,5,13,1,3
55.867576,37.565515,15.91964471,32,6.5,1,1,1,1
44.6772676,37.7784911,15.48321738,75,15,3,8,1,2
56.852738,53.2114896,13.86430072,25,5,1,2,1,3
54.9087933,52.3256448,15.06827353,54,10,2,9,1,1
54.593206,52.4413848,13.84506936,31,9,1,5,1,3
55.6341745,109.3382887,14.97866137,52,6.8,2,2,1,1
47.245329,39.701206,15.0964444,36.4,10,1,16,1,6
65.132191,57.155664,13.65299163,44,6,2,5,1,1
55.866399,37.615542,16.04552496,43,6,2,2,1,1
55.6003018,37.5105867,16.10804532,54,9.2,2,7,1,1
55.0718303,82.961723,15.0964444,42.8,6.8,2,4,1,1
53.3777656,50.1761734,14.89731573,66,7.6,3,5,1,1
52.0763787,113.4572334,15.0964444,50.2,7.5,2,5,1,1
45.0837084,38.8963718,14.80876233,44,10,2,4,2,3
53.2541355,50.215301,15.7309615,70,17.5,2,24,1,2
56.8687352,53.2223746,14.75160392,42,6.5,2,2,1,1
51.8085674,79.6802893,13.38472764,50,6.1,3,2,1,1
50.5669311,36.5837837,15.48321738,78,12,3,12,1,3
58.0455143,56.0914341,14.75160392,55.4,6,3,2,1,3
55.8269295,37.4952663,16.00156183,37.9,6.4,2,1,1,1
59.7406952,30.4679381,15.65606019,58,11,2,4,1,2
44.733862,37.7519616,15.0964444,39,10,1,1,1,1
44.6790473,37.7829983,15.64005985,62,11,3,6,1,1
53.2356699,50.2025304,15.16358371,62,7.5,3,3,1,1
56.0373702,92.9056217,15.38412648,53,9,2,2,1,1
43.6395267,39.729285,14.84512998,35.9,9.8,1,3,1,2
45.084694,39.011333,14.62644077,37,10,1,2,1,3
60.050929,30.422786,15.42494847,49.74,9.01,2,2,2,6
54.7142749,20.497235,15.67180855,71,11,2,2,1,2
56.073952,47.2805601,13.9552725,29,6,1,3,1,3
45.050947,41.9762141,14.89051298,54,10.6,2,9,2,3
47.5237896,42.1488591,13.99783211,43,6,2,3,1,3
55.020844,82.978355,14.97866137,33.3,9.8,1,12,2,3
44.038348,42.8733352,15.34156686,95.8,25,2,2,1,4
59.957584,30.405511,15.92572376,32,9.8,1,9,1,2
56.24454,43.8450059,15.12384338,42.7,6,2,2,1,3
55.747687,37.703999,16.4031994,66.7,8,3,1,1,3
