lat,lon,lprice,livingArea,bathrooms,bedrooms,house_age,garageSpaces,pool,spa
31.20070267,-82.23247528,12.04296531,2302,3,4,36,1,1,1
31.21383476,-82.36510468,11.97665948,2864,2,4,111,1,1,1
31.21083832,-82.32711792,10.71441777,728,1,1,76,1,1,1
31.1698513,-82.23130035,12.01370075,1620,2,2,50,1,1,1
31.21701431,-82.30085754,12.06393288,1512,2,3,41,1,1,1
31.21199226,-82.28270721,12.76540268,2309,2,3,22,1,2,1
31.19115257,-82.36397552,11.50791292,1383,1,3,61,1,1,1
31.23105049,-82.3844223,11.77143616,1874,2,3,81,1,1,1
31.19118118,-82.36191559,11.98289784,1838,3,3,99,1,2,1
31.21306419,-82.37071991,11.00043178,1300,1,3,54,1,1,1
31.18942833,-82.36638641,12.20356952,1914,2,3,21,1,2,1
31.21279526,-82.37063599,10.87615862,952,1,2,57,1,1,1
31.21701622,-82.30155945,12.07254125,1980,2,3,36,1,1,1
31.20638657,-82.30395508,13.58986388,7282,8,7,18,4,2,2
33.40819168,-83.82614136,12.76568843,1282,2,2,47,1,1,1
33.4336853,-83.81406403,12.30138283,1400,2,3,0,1,1,1
33.51128387,-83.73121643,12.80737862,2713,3,4,1,1,1,1
33.51107788,-83.7309494,12.76540268,2377,3,4,0,1,1,1
33.54794312,-83.68920898,14.07787482,7208,7,4,20,1,2,2
33.41340637,-83.82525635,12.59811473,1443,2,3,61,1,1,1
33.4332695,-83.82189941,12.82098798,2448,3,3,19,3,1,1
33.58328247,-83.66210938,13.99783211,8618,6,5,14,1,2,2
34.44451904,-83.09806824,12.84766334,2396,2,3,18,3,1,1
34.49860764,-83.0981369,12.69158046,1065,2,2,41,1,1,1
34.50265121,-83.08946991,11.59910316,884,1,3,38,1,1,1
34.44398117,-83.09952545,12.61153442,2113,3,3,16,1,1,2
34.50189972,-83.09214783,12.4292162,1608,2,3,14,2,1,1
34.42367935,-83.09893036,12.06968002,1547,2,3,68,1,1,1
34.46007919,-83.07307434,12.54254488,2436,3,3,13,1,1,1
33.91296768,-84.28226471,12.61120436,1758,2,3,61,1,1,1
33.91661835,-84.283638,12.76568843,1906,3,3,20,2,1,1
33.95121765,-84.26361847,12.95984445,2197,2,3,53,3,1,1
33.93252563,-84.284935,13.26195139,3822,4,4,30,3,1,1
33.93246841,-84.26504517,12.4292162,1165,1,3,66,1,1,1
33.91780853,-84.2883606,13.592242,3304,5,5,4,3,1,1
33.95911407,-84.27008057,13.26212532,3234,4,4,33,5,2,1
33.91624832,-84.28783417,13.19384462,2295,4,4,0,3,1,1
33.95699692,-84.26854706,13.26212532,3955,3,4,22,3,1,1
