lat,lon,lprice,rooms,area,floor,total_floors,house_type,condition
56.8597884,24.3083417,10.4341158,2,50,5,5,3,3
56.8597884,24.3083417,10.62132735,2,47,4,5,3,3
56.8597884,24.3083417,11.9511804,4,140,2,7,1,3
56.8597884,24.3083417,10.90595598,3,60,5,5,3,3
56.8597884,24.3083417,9.67344526,2,100,1,2,6,1
56.8597884,24.3083417,10.65725935,2,48,3,5,3,3
56.8597884,24.3083417,10.68051622,2,48,3,5,3,3
56.8597884,24.3083417,10.96819829,2,50,9,9,4,3
56.8597884,24.3083417,9.792555992,1,31,4,5,3,1
56.8597884,24.3083417,10.75149944,2,49,1,5,3,3
56.8597884,24.3083417,10.96474405,3,60,5,9,3,3
56.8597884,24.3083417,10.57131693,3,61,4,4,2,3
56.8597884,24.3083417,10.50506754,2,48,2,5,3,3
56.8597884,24.3083417,11.28976941,2,70,2,4,2,3
56.8597884,24.3083417,10.74505474,2,44,6,6,6,3
56.8597884,24.3083417,10.58405595,2,44,5,5,6,3
56.8597884,24.3083417,10.71441777,1,34,1,6,2,3
56.8597884,24.3083417,10.77268668,2,47,12,12,1,3
56.8597884,24.3083417,10.46310334,2,44,1,5,3,3
56.8597884,24.3083417,11.01698845,2,52,2,4,2,3
56.8597884,24.3083417,10.71441777,2,39,3,4,6,3
56.8597884,24.3083417,11.12726298,3,65,1,5,2,3
56.8597884,24.3083417,9.798127037,1,31,4,4,2,3
56.8597884,24.3083417,10.75577295,3,61,3,5,3,3
56.8597884,24.3083417,10.37349118,1,37,2,12,4,3
56.8597884,24.3083417,10.29214554,1,32,3,12,6,3
56.8597884,24.3083417,8.973351414,1,17,1,4,2,3
56.8597884,24.3083417,10.6454249,2,39,2,5,3,3
56.8597884,24.3083417,10.56874953,2,48,5,5,3,3
56.8597884,24.3083417,10.27125079,4,96,1,2,5,3
56.8597884,24.3083417,10.74289724,2,40,1,5,2,3
56.8597884,24.3083417,11.02026715,3,50,2,5,2,3
56.8597884,24.3083417,10.91508846,2,46,5,12,1,3
56.8597884,24.3083417,10.25765937,1,31,12,12,1,3
56.8597884,24.3083417,11.15924603,4,76,3,9,1,3
56.8597884,24.3083417,10.52942598,2,48,6,6,2,1
56.8597884,24.3083417,10.89488576,2,45,5,5,2,3
56.8597884,24.3083417,10.88743693,3,61,1,5,3,3
56.8597884,24.3083417,10.49127422,1,36,1,5,6,3
56.8597884,24.3083417,11.05879518,2,49,5,9,1,3
56.8597884,24.3083417,10.38899537,2,37,5,5,3,3
56.8597884,24.3083417,10.91508846,3,63,5,5,3,3
56.8597884,24.3083417,11.58988651,3,68,5,9,2,3
56.8597884,24.3083417,11.70354582,4,73.4,6,9,3,3
56.8702755,24.2741204,10.86283777,3,60,2,5,3,3
56.887204,24.2335864,10.59663473,3,60,2,5,3,3
56.887204,24.2335864,10.15424627,2,37,1,5,3,3
56.8945857,24.2163422,10.94199592,3,60,3,5,3,3
56.8945857,24.2163422,10.64065162,2,44,1,5,1,3
56.8955665,24.22544198,10.77478092,2,47,1,3,6,3
56.89585315,24.22591898,10.37349118,2,42,2,3,6,3
56.8970109,24.08743237,11.42845631,2,62,1,5,3,3
56.8974581,24.1389382,11.36210258,2,63,5,5,1,3
56.89859735,24.0876708,10.71441777,1,46,2,9,3,3
56.89859735,24.0876708,11.05089001,2,58,4,9,3,3
56.89859735,24.0876708,11.23848862,3,74,3,9,3,3
56.89859735,24.0876708,11.27720313,3,77,2,9,3,3
56.8988685,24.20730725,10.66895539,2,47,2,5,3,3
56.8989409,24.08338926,10.34174248,1,34,2,12,6,3
56.89894185,24.0913865,11.27593651,3,75,6,9,3,3
56.8990307,24.0785989,10.79957558,2,50,1,9,3,3
56.8990307,24.0785989,11.39639165,4,90,6,10,3,3
56.8990307,24.0785989,10.68510338,1,43,10,10,3,3
56.8990307,24.0785989,11.1844214,3,75,3,10,3,3
56.8990307,24.0785989,11.42954386,4,93,9,10,3,3
56.8990307,24.0785989,10.70324447,1,46,5,10,2,3
56.8990307,24.0785989,11.22524339,4,76,2,9,3,3
56.8990307,24.0785989,11.05089001,3,62,3,9,3,3
56.8992639,24.21437291,10.87804719,3,61,2,5,3,3
56.8992639,24.21437291,10.94199592,3,61,4,5,3,3
56.89934935,24.09641714,10.54534144,1,35,7,9,3,3
56.8993612,24.09128585,11.65268741,6,142.4,2,10,3,3
56.89938885,24.21369425,10.4341158,1,33,4,5,3,3
56.8994355,24.08756831,11.21182037,3,79,8,10,3,3
56.89979805,24.09835015,10.38899537,1,32,9,9,3,3
56.89979805,24.09835015,10.96819829,2,50.2,2,9,3,3
56.8999122,24.2124101,10.42079214,1,31,2,5,3,3
56.90015325,24.21192577,10.59663473,2,48,1,5,3,3
56.9001589,24.08251363,10.50506754,1,36,10,12,6,3
56.9001741,24.0926941,10.95080655,3,60,5,5,6,3
56.9002148,24.10019355,11.23188794,5,94,1,9,4,3
56.90025155,24.09852748,10.47728798,1,44,3,9,3,3
56.90032605,24.2142654,10.50506754,2,45,4,5,3,3
56.9004074,24.08374229,11.22524339,3,75,7,9,3,3
56.9004074,24.08374229,11.2515607,3,78,2,9,3,3
56.9004074,24.08374229,11.56171563,5,140,3,10,3,3
56.9004074,24.08374229,11.56171563,5,140,3,9,3,3
56.90048705,24.10060743,10.61398337,1,45,3,9,3,3
56.90048705,24.10060743,10.44726428,1,44,7,9,3,3
56.90069575,24.10228098,11.0806029,2,52,5,9,3,3
56.90080385,24.2070323,10.71441777,2,45,4,5,3,3
56.90080385,24.2070323,10.46310334,2,44,1,5,3,3
56.9008066,24.0862562,11.26446411,3,76,8,10,3,3
56.9008066,24.0862562,11.30220443,4,90,1,7,3,3
56.9010096,24.09997564,10.51867319,1,40,1,9,3,3
56.9010096,24.09997564,11.08214255,1,41,2,9,3,3
56.90102635,24.09399411,11.00209984,3,62,4,9,3,3
56.90102635,24.09399411,10.71441777,2,51.6,9,9,3,3
56.90102635,24.09399411,11.04771035,3,63,8,8,3,3
56.9012048,24.08071903,11.73606902,2,86,5,5,3,3
56.90154795,24.09246741,11.1844214,3,75,9,10,3,3
56.90154795,24.09246741,11.15625052,3,75,9,10,3,2
56.90156125,24.09542465,11.1844214,4,79,6,9,3,3
56.9017919,24.0913811,11.35040654,3,78,8,10,3,3
56.90189495,24.09645817,11.05089001,2,49,6,11,1,3
56.9019124,24.1024598,11.18324015,3,76,5,7,3,3
56.9019124,24.1024598,11.32659589,4,76,2,9,1,3
56.9019142,24.08884055,11.19409666,3,77,1,10,3,3
56.9019341,24.21384273,10.8036489,3,61,4,5,3,3
56.9019341,24.21384273,10.858999,2,50,5,5,3,3
56.90217635,24.08785815,11.00209984,2,60,8,9,3,3
56.90217635,24.08785815,11.00209984,2,60,10,8,3,3
56.9023667,24.08653905,11.22524339,3,77,8,10,3,3
56.902508,24.21343831,10.98019501,3,58,9,9,3,3
56.90261215,24.21212144,10.91508846,3,61,2,5,3,3
56.90261215,24.21212144,10.40426284,1,31,2,5,3,3
56.9030242,24.21168915,10.58405595,2,50,5,5,3,3
56.9030711,24.2132849,10.88743693,3,59,5,5,3,3
56.9032733,24.19942425,10.90595598,3,60,1,5,3,3
56.90348845,24.20369795,10.66895539,3,55,3,5,6,3
56.90348845,24.20369795,10.53209621,2,35,3,5,6,3
56.90348845,24.20369795,10.46310334,1,30,2,5,1,3
56.90349755,24.20955861,10.98529272,3,59,5,5,3,3
56.90364565,24.2016746,10.79957558,3,56,5,5,3,3
56.90364565,24.2016746,10.54534144,2,49.6,4,5,3,3
56.9038744,24.1987997,10.4487146,1,35,6,12,1,3
56.9042432,24.2102561,10.83368119,2,51,1,9,3,3
56.90431635,24.19765244,10.29214554,1,42,1,12,6,3
56.9045511,24.1941032,10.7254676,3,59,1,5,3,3
56.9045511,24.1941032,10.79957558,3,59,5,5,3,3
56.9048218,24.18525795,10.45737267,2,44,1,5,3,3
56.9048409,24.19643869,10.51867319,1,36,6,12,6,3
56.9050604,24.10057565,8.824677891,1,13,5,5,2,3
56.9050604,24.10057565,9.449357272,2,31,2,5,6,3
56.90509875,24.10270318,10.59663473,2,41,2,5,6,3
56.90511365,24.14323882,11.40756495,2,55,1,5,3,3
56.9051509,24.2295888,10.87804719,2,44,4,5,4,3
56.9051509,24.2295888,11.47210347,3,91,1,5,3,3
56.9051509,24.2295888,11.46163217,4,101,5,5,2,3
56.9052096,24.08455345,11.15625052,2,57,3,16,3,3
56.9054036,24.2216505,10.4487146,3,56,4,5,6,3
56.9063124,24.19464765,10.66895539,2,51,1,5,3,3
56.90657655,24.22035187,10.12262308,1,27,3,5,6,3
56.90669385,24.1008035,10.78931908,2,48,2,2,6,3
56.9068216,24.2021046,10.5941316,2,38,3,5,3,3
56.90687475,24.22091578,8.77801781,1,18,3,4,6,3
56.90687475,24.22091578,9.464207096,2,37,4,4,6,3
56.90687475,24.22091578,9.729134165,3,54,2,5,6,3
56.90687475,24.22091578,9.952277717,1,38,4,4,6,3
56.90699225,24.20361426,10.55320518,2,50,1,5,3,3
56.9075339,24.20198917,10.49957302,1,32,12,12,1,3
56.9077347,24.2226369,9.614471257,3,52,1,2,5,1
56.9077347,24.2226369,9.61580548,3,50,1,2,5,1
56.9077347,24.2226369,8.779557456,1,18,3,4,6,3
56.9078304,24.19045705,10.25765937,1,32,7,9,3,3
56.90785995,24.085734,12.15375251,3,145,3,4,3,3
56.9080231,24.1990921,10.81376021,2,49,2,9,3,3
56.90813455,24.0977731,11.08214255,3,55,2,5,6,3
56.90837855,24.20066605,10.51596683,2,38.2,2,5,3,3
56.90837855,24.20066605,10.51596683,2,38,2,5,3,3
56.90846935,24.07867741,11.75978554,3,99,4,6,3,3
56.90846935,24.07867741,11.48246626,2,70,4,6,2,3
56.90846935,24.07867741,11.91170158,3,117,2,6,2,3
56.90884755,24.07943705,11.88448902,3,108,6,6,4,3
56.90884755,24.07943705,11.39075783,2,75,5,6,6,3
56.90929355,24.20023458,10.30895266,2,39,2,5,1,3
56.9093617,24.09647242,11.69523869,3,88,1,6,2,3
56.9093617,24.09647242,11.91839057,4,126,1,6,2,3
56.9094064,24.0954157,11.22524339,3,62,8,9,3,3
56.9094064,24.0954157,10.71441777,2,50,1,9,3,3
56.9094064,24.0954157,10.40426284,1,42,3,5,3,3
56.9094064,24.0954157,10.71441777,1,32,9,9,3,3
56.9094064,24.0954157,10.55841352,1,32,6,9,3,3
56.9094064,24.0954157,10.49127422,1,32,9,9,4,3
56.9094064,24.0954157,11.27720313,3,63,9,4,3,3
56.909529,24.18623806,10.58405595,2,49,1,5,3,3
56.909529,24.18623806,10.60905725,2,49,1,5,3,3
56.90957185,24.0976416,11.26446411,3,75,3,7,3,3
56.90957185,24.0976416,11.08214255,3,75,7,7,3,3
56.90992605,24.19855653,10.40426284,2,50,1,5,3,3
56.90997115,24.18333842,10.54534144,2,38,4,5,3,3
56.91000915,24.0991443,12.12973141,4,109,3,4,2,3
56.9101647,24.18655327,10.99373159,3,61,5,5,3,3
56.9101647,24.18655327,10.93844981,3,60,4,5,6,3
56.9106275,24.18366947,10.96819829,3,61,4,5,3,3
56.9106275,24.18366947,10.71415107,3,59,1,5,3,3
56.9106275,24.18366947,10.66895539,3,60,5,5,3,3
56.91064295,24.09951606,10.73639668,2,57,2,5,3,3
56.91064295,24.09951606,10.76823233,2,59,2,5,3,3
56.9107942,24.18530416,10.63344871,3,54,4,5,3,3
56.9108369,24.09825343,11.0744205,2,56,2,5,3,3
56.9108369,24.09825343,11.36210258,3,73,5,5,3,3
56.9108369,24.09825343,11.27720313,3,73,3,5,1,3
56.9108369,24.09825343,11.28978191,3,73,2,5,3,3
