lat,lon,lprice,Size,Rooms,Toilets,Suites,Condo,Parking,Elevator,Furnished,Swimming.Pool
-26.9225709,-49.0606445,14.07015278,165,3,2,1,2450,2,1,1,2
-26.9225709,-49.0606445,12.15477935,45,2,1,0,270,0,2,1,1
-26.9225709,-49.0606445,12.3883942,54,2,1,0,315,1,2,1,1
-26.9225709,-49.0606445,12.70684793,70,3,1,0,400,1,1,1,1
-26.9225709,-49.0606445,12.1388639,38,2,1,0,150,1,1,1,1
-26.9225709,-49.0606445,12.62148808,53,3,2,1,350,1,1,1,2
-26.9225117,-49.0607072,12.23514589,30,1,1,0,250,0,1,1,1
-26.9225117,-49.0607072,12.2010601,32,1,1,0,276,0,1,1,1
-26.9225117,-49.0607072,14.84512998,173,3,4,3,2500,3,1,1,2
-26.9225117,-49.0607072,14.97866137,167,3,4,3,1700,2,1,1,2
-26.9225117,-49.0607072,14.03865411,142,3,3,2,2650,2,1,2,2
-26.9225117,-49.0607072,12.9360338,30,1,2,1,670,1,1,1,2
-26.9225117,-49.0607072,13.90168825,145,4,2,3,800,3,1,1,2
-26.9225117,-49.0607072,13.33747476,70,3,2,1,454,1,1,1,2
-26.9225117,-49.0607072,13.3534751,62,2,2,1,680,1,1,2,2
-26.9225117,-49.0607072,13.03680549,48,2,1,0,500,1,1,1,2
-26.9225117,-49.0607072,12.20607265,45,2,1,0,300,1,1,1,1
-26.9225117,-49.0607072,11.77528973,46,2,1,0,200,1,1,1,1
-26.9225117,-49.0607072,11.97665948,41,2,1,0,150,1,1,1,1
-26.9225117,-49.0607072,12.44901882,50,2,1,0,350,1,1,2,2
-26.9225117,-49.0607072,12.27839331,52,3,1,0,220,1,1,1,2
-26.9225117,-49.0607072,12.52452638,63,2,1,0,220,1,1,1,1
-26.9225117,-49.0607072,12.60081379,62,3,1,0,245,1,1,1,1
-26.9225117,-49.0607072,13.66468767,180,3,4,3,1200,2,1,1,2
-24.013939,-46.448352,11.51292546,55,2,2,1,138,1,1,1,1
-23.88175,-46.735355,12.04355372,48,2,2,1,130,1,1,1,1
-23.7735086,-46.6756314,13.03024809,85,3,1,0,770,1,1,1,1
-23.772193,-46.668294,12.15477935,58,2,2,1,90,1,1,1,1
-23.772193,-46.668294,12.4292162,70,3,2,1,400,1,1,1,1
-23.772193,-46.668294,12.36734079,58,2,2,1,350,1,1,1,1
-23.772193,-46.668294,12.46843691,62,2,2,1,350,1,1,1,1
-23.772193,-46.668294,12.56024446,56,2,2,1,360,1,1,1,1
-23.756972,-46.683092,12.10071213,50,2,2,1,166,1,1,1,1
-23.756972,-46.683092,12.04355372,53,3,2,1,100,1,1,1,1
-23.756972,-46.683092,11.88448902,50,2,2,1,166,1,1,1,1
-23.7564827,-46.7069804,12.46843691,49,2,1,0,298,1,1,1,1
